,SI,SD,TSS
13,4.764722828080668,1.8117041897374737,1.0
43,3.766473857361225,2.4929345528548392,1.0
73,4.221463884804783,2.2807822012651346,1.0
103,4.658577216199989,2.217798813261345,1.0
133,3.9130896509865147,1.5343635907278714,1.0
163,6.5382600924743866,1.2888146087121686,1.0
193,4.037772447456329,2.2867193891525566,1.0
223,5.006246627358543,2.0906133061728616,1.0
253,4.256122276576284,1.4762970006195515,1.0
283,4.517929498258784,2.1578088158969444,1.0
313,4.681037033491517,1.8583994452696047,1.0
343,4.614435792832068,1.832019449945069,1.0
373,4.940122018491834,1.283224544289485,1.0
403,5.265181160298768,1.1874512026339166,1.0
433,4.0542537869250825,1.9160267535767805,1.0
463,5.19167314170517,1.6721465036452128,1.0
493,5.487349839058701,1.7678823670951331,1.0
523,4.2524776852537,2.0880951981364473,1.0
553,5.5630730654232705,1.757742988570106,1.0
583,3.725540211212026,1.8386198374954335,1.0
613,4.311274175423979,2.3049702500161717,1.0
643,4.823814981818131,1.8210026400303159,1.0
673,4.476536362124323,1.079004959426416,1.0
703,4.820453419272449,1.9086588524041548,1.0
733,5.611022547096154,1.3692274583890534,1.0
763,4.90323434256814,1.6945606934566122,1.0
793,4.552691270854748,1.794318623536319,1.0
823,4.132155425994143,1.459107186472945,1.0
853,4.894165297577151,2.4128063931486334,1.0
883,4.443774025009749,1.9764620907410213,1.0
913,5.0578478383288745,1.71057319024624,1.0
943,5.399237898511053,1.8153372354009234,1.0
973,5.360735586151916,1.860199632594945,1.0
1003,4.4548191335791785,1.5316259516461477,1.0
1033,3.5447749715611345,1.859187861799291,1.0
1063,5.072996645294102,2.2500825789767145,1.0
1093,3.7211837245203805,1.8760009441037246,1.0
1123,4.811652657273976,2.7406503195541294,1.0
1153,4.721111622528978,2.33307412129591,1.0
1183,4.454572905661559,2.073706938593001,1.0
1213,5.122771379005821,1.7038406955211416,1.0
1243,4.417442596919585,2.0302361617491,1.0
1273,3.561722181883883,2.4427539048704534,1.0
1303,5.121057632582119,1.4439134076416098,1.0
1333,4.854630649867603,1.748487720612561,1.0
1363,3.5106611029550923,1.785964431498668,1.0
1393,4.773577331918652,1.2078507185399856,1.0
1423,4.889300212537617,1.2362687768706222,1.0
1453,4.160945253923196,2.136257567873061,1.0
1483,4.499407640915677,2.1377562964000534,1.0
