,SI,SD,TSS
2,7.72302920340324,2.419642048457324,1.0
32,8.095452859086082,2.6045043562958594,1.0
62,8.176943289919679,2.9901128632389837,1.0
92,9.341839289466636,1.5976912146897806,1.0
122,9.593490807638279,1.5827526379144023,1.0
152,6.981837817824534,2.5465762557124973,1.0
182,7.165877138773835,1.8776435071982953,1.0
212,7.531026816382204,2.1871445339678766,1.0
242,9.224992390252893,1.5347145638622153,1.0
272,9.242898374952055,1.5147179150894712,1.0
302,7.967240111269901,2.233316175577786,1.0
332,8.51339993637181,2.716728269045658,1.0
362,9.45529581131751,1.9297068055803626,1.0
392,10.092085190809556,1.5851692080938076,1.0
422,8.422611256360103,1.6777767130334718,1.0
452,10.331625893329374,1.5710494852667318,1.0
482,8.939962282894797,2.6914337026571538,1.0
512,7.896613999677393,2.7201996222726956,1.0
542,8.991191780255004,2.206002394280752,1.0
572,6.022383939474074,3.4707175890122954,1.0
602,8.657317274577352,2.141274998911054,1.0
632,7.995839910480995,2.4685760641862866,1.0
662,10.53393565319937,2.00546365729631,1.0
692,8.464901535292993,2.2591566431753654,1.0
722,7.306173585738953,2.9957370259002047,1.0
752,9.207639629097308,1.8269782012469211,1.0
782,8.212631315597545,2.4196496343212988,1.0
812,8.795432434684855,2.962570746824531,1.0
842,9.028013927019805,1.574773769033223,1.0
872,7.423024968620744,3.0609706259779332,1.0
902,9.43822681262081,1.875701661583582,1.0
932,9.076876267264863,1.8113306637639988,1.0
962,8.034749532687815,2.3471083521817375,1.0
992,8.767055582487401,2.2269153785104145,1.0
1022,9.129460521080206,1.860396104866014,1.0
1052,9.370598418176586,1.6798783051039061,1.0
1082,8.474613468711581,2.3393425685034948,1.0
1112,10.081755545985425,1.9831082840040926,1.0
1142,8.554200047366875,2.4407128612832136,1.0
1172,7.621620948706249,2.307212030666938,1.0
1202,9.035665680871901,1.844817033374571,1.0
1232,8.448518126677184,1.702517837620361,1.0
1262,7.696908512096542,2.668813161653568,1.0
1292,9.55582945060352,1.9267632973014537,1.0
1322,9.321449769181624,1.736289050260116,1.0
1352,8.836037473071569,1.9809344423134296,1.0
1382,9.723235767237426,1.6192988622438058,1.0
1412,9.381849851185754,2.0949491854947087,1.0
1442,9.103498060879843,2.1401720810207827,1.0
1472,9.21117826656219,1.5969693737044472,1.0
1502,9.57830646719518,1.6176470779587842,1.0
1532,9.717226194639116,2.035342142550526,1.0
1562,8.2198272021595,2.4997844685997954,1.0
1592,10.139861828856484,1.983451635655744,1.0
1622,8.983717531094163,2.50748143862478,1.0
1652,8.993795697643007,2.112510500637299,1.0
1682,8.595734694283442,2.3618747404344838,1.0
1712,8.011381577555793,2.7342616964290407,1.0
1742,8.439329232688616,2.3594112552550164,1.0
1772,8.755476934875597,2.0578951978251068,1.0
1802,10.375802940539181,1.7010820951087087,1.0
1832,8.274182999177498,2.2623278965727325,1.0
1862,7.592176107856445,2.5220499715193974,1.0
1892,8.557797139161636,2.488988674794924,1.0
1922,6.89765623163205,2.7655504979691936,1.0
1952,9.687779320625575,1.7870935401890795,1.0
1982,7.814937583805764,3.2602226150801275,1.0
2012,8.966863212222053,2.005438907285486,1.0
2042,7.794530730141996,2.685616707409167,1.0
2072,9.231264507993233,1.8899494564983665,1.0
2102,8.554923815699611,2.441427487820299,1.0
2132,10.541228150263192,1.3449110257911039,1.0
2162,8.491918607013126,1.848222784800104,1.0
2192,9.005199910321602,2.1981403189961752,1.0
2222,8.650281614322898,2.4985058509281735,1.0
2252,9.330521280383905,1.732132386658735,1.0
2282,9.35683366684816,2.4623390827754803,1.0
2312,7.96690536063092,2.620735983285931,1.0
2342,8.106138352804248,2.7647546403564776,1.0
2372,8.13569225768232,2.493559111919173,1.0
2402,8.27926288961317,2.139164930608744,1.0
2432,9.25043668536722,1.8770977695811686,1.0
2462,7.865871973806202,2.384283259323508,1.0
2492,7.2443603694707255,2.609983770209928,1.0
2522,7.892985149681355,2.401365571748997,1.0
2552,8.12290748338914,2.5805395642229665,1.0
2582,8.203890437713984,2.743420787271892,1.0
2612,7.259196125396772,2.087504593289177,1.0
2642,8.124712944891273,2.2896227747918694,1.0
2672,8.067591059245512,2.7151234006104636,1.0
2702,8.540758309578763,2.3456305746464343,1.0
2732,8.518139499295128,2.5395167713231803,1.0
2762,10.011400889684419,1.6270057827502213,1.0
2792,9.147958941554354,1.7554826980088265,1.0
2822,9.416293292657839,1.668302455848004,1.0
2852,9.884806418889884,1.6131178045301346,1.0
2882,9.15345981884495,2.2586807345512327,1.0
2912,8.250155263392301,2.254834834471879,1.0
2942,8.887379951333633,2.166620583369895,1.0
2972,9.963971612967578,1.3434451595048758,1.0
3002,7.840199680926666,2.431458907455029,1.0
3032,7.548512431750782,2.4033944366551085,1.0
3062,9.106483248433808,2.0102262362849244,1.0
3092,8.287379283433916,2.283832613200837,1.0
3122,8.403317892534087,1.9608061783312167,1.0
3152,8.108009157807157,2.232123118279076,1.0
3182,9.238334937138905,2.8285607784396856,1.0
3212,7.759582361875863,2.1299136974625856,1.0
3242,8.435767833033248,2.578012769411322,1.0
3272,10.037038444482626,1.7085373532168788,1.0
3302,8.898506865234927,1.689074468081899,1.0
3332,8.712772120120876,2.2894011290215164,1.0
3362,7.51866857484274,3.0771329720731364,1.0
3392,8.64314916656475,1.8722573278323453,1.0
3422,9.440972109947992,1.7167048984191204,1.0
3452,7.770051826622359,2.3200771546725596,1.0
3482,8.819111580375028,1.8682833938310168,1.0
3512,8.614764091380884,1.561608212968977,1.0
3542,8.594773754535106,1.643635911074467,1.0
3572,9.275965334675904,2.3131609074779225,1.0
3602,5.6659027053157605,3.043150337554801,1.0
3632,9.885798543056147,1.657650267692702,1.0
3662,9.37480524256479,2.3046830011751682,1.0
3692,8.50644681050988,1.658899014934375,1.0
3722,6.864917999587204,3.036990804961467,1.0
3752,8.187207525040483,2.6996934147922294,1.0
3782,8.92277595437215,1.9335075541492264,1.0
3812,8.02985744531617,3.0611686179087747,1.0
3842,9.055910223865228,1.984829130445605,1.0
3872,7.941354140455776,2.690974461377421,1.0
3902,7.066988114555959,2.777130179706645,1.0
3932,9.243057008439383,1.9880028314176537,1.0
3962,7.1510179019459255,2.8028090283610014,1.0
3992,7.410053137725607,3.154203161541681,1.0
4022,7.56133262464936,2.6581994959674446,1.0
4052,9.228635958061258,1.52680163260879,1.0
4082,8.053671938767861,3.246722302916,1.0
4112,9.876490944611467,1.2940453938029106,1.0
4142,8.645026211194565,2.8086090915653448,1.0
4172,8.144910523995367,1.749971750078861,1.0
4202,7.3376659936298,2.6946859408946606,1.0
4232,6.84354562597209,2.01054908771879,1.0
4262,9.337491839388997,1.6667194147182596,1.0
4292,8.17513405958392,2.669771466773934,1.0
4322,7.443859887360091,2.814297938796528,1.0
4352,8.001191051001669,2.8413096330178416,1.0
4382,7.607114782710247,1.8188079668586061,1.0
4412,9.914453818554291,1.292445305973288,1.0
4442,9.785698937992724,1.1108161117942963,1.0
4472,8.480561643818362,2.222870502798037,1.0
4502,9.044052456287087,1.8915912901706686,1.0
4532,9.59585476100079,1.7575398608932613,1.0
4562,9.44303058314239,1.645247762075106,1.0
4592,7.241738891137727,2.367879818905108,1.0
4622,8.674420842674888,2.2451546142576517,1.0
4652,8.451187522246213,2.5692342332435043,1.0
4682,9.208329986315226,1.9029278801680158,1.0
4712,8.120892327940537,2.0974524058967283,1.0
4742,9.094392205280297,2.61023882806369,1.0
4772,9.255980873273081,1.717406256726087,1.0
4802,9.737533795731935,2.428220454377231,1.0
4832,9.651031995809218,1.8805291421765569,1.0
4862,8.734940207219124,1.7822552314935067,1.0
4892,8.404258582118146,2.7526621562533804,1.0
4922,9.517187926309335,1.966158940251724,1.0
4952,8.476678833817461,2.14224316197078,1.0
4982,8.219893512461363,2.3956995317600778,1.0
5012,8.554379093681781,2.2114809498895616,1.0
5042,7.681044661767365,3.053680911061299,1.0
5072,7.931850159767712,2.7352810397295455,1.0
5102,7.095524873771158,3.0166091087336886,1.0
5132,8.180247818862558,2.454327036023905,1.0
5162,9.744921707716635,1.9139827626294457,1.0
5192,8.574734315490486,1.7340372746514685,1.0
5222,7.835785502515317,2.0250817058824833,1.0
5252,7.09679785287557,2.7234055723427852,1.0
5282,8.318130769197309,2.2272656594674145,1.0
5312,9.803933642944756,2.450514654951611,1.0
5342,9.516029399339995,1.8397190519418443,1.0
5372,9.665824557899096,1.7802328231719715,1.0
5402,9.965936647428123,1.4985702763995463,1.0
5432,8.375833103844526,2.103845405100219,1.0
5462,8.504245059191662,1.8080496779195863,1.0
5492,8.241924183770756,2.0995263346167983,1.0
5522,8.014096294204,2.1278315090692073,1.0
5552,8.995012404514245,2.7223777137795455,1.0
5582,8.700453973616103,2.874366163984905,1.0
5612,7.565549067205383,2.1325000714696287,1.0
5642,8.152707337225753,2.378614126254264,1.0
5672,9.067835456698457,1.722532610377463,1.0
5702,8.214904013650429,2.0345133033898035,1.0
5732,9.433723943993172,1.5751840041134444,1.0
5762,8.852838340360416,2.310688958278224,1.0
5792,8.440190774163147,1.6581204943396313,1.0
5822,7.31375170155366,2.553734155163854,1.0
5852,10.714507869392476,1.3242254807901392,1.0
5882,7.156265839843439,2.709284996393808,1.0
5912,8.215289757897487,2.716206493748219,1.0
5942,9.354830147694488,1.8753080862697198,1.0
5972,8.71500658477839,2.2140248547883408,1.0
6002,8.119885503761218,3.5735190884961603,1.0
6032,9.498910380401671,1.7942785055408261,1.0
6062,8.467185398553589,2.4618512406369693,1.0
6092,8.839279647780787,1.3623213954025848,1.0
6122,8.805744245004172,1.8806145366618794,1.0
6152,7.759413579377563,2.7190615213706057,1.0
6182,9.170813322446865,1.9037394426096725,1.0
6212,7.766941181345932,2.7208171055516113,1.0
6242,10.211373253315601,1.4459908812684066,1.0
6272,7.709499249765639,2.495891005779658,1.0
6302,9.415611429398517,1.5342983648539368,1.0
6332,8.691858645699432,1.9193285203702175,1.0
6362,9.283428144843437,1.6016693335921786,1.0
6392,10.536334191621993,1.5774400259940768,1.0
6422,8.325158364580673,2.636732227322416,1.0
6452,7.815221715218849,2.8673771856998918,1.0
6482,8.498679009714706,3.108991186188339,1.0
6512,8.022442901029738,2.6937616749588016,1.0
6542,9.780080893801005,1.5925121406943055,1.0
6572,9.141172362892009,2.574025367232422,1.0
6602,9.98970888316857,1.5665295432013489,1.0
6632,6.979675217143817,2.3664625961185326,1.0
6662,7.323319050171691,2.3039776925058737,1.0
6692,10.643262484872775,1.07619438689028,1.0
6722,9.206881118005601,2.2988659685575588,1.0
6752,9.632822668914182,1.8434080611903092,1.0
6782,9.716599789089798,2.026513249924657,1.0
6812,8.17483454501612,1.7248565510645424,1.0
6842,7.863678665222606,2.5699233607808063,1.0
6872,9.799840935698974,2.148404086611566,1.0
6902,9.550054199173893,2.0544277949577374,1.0
6932,8.127090611178588,2.2679865908495547,1.0
6962,8.394288668596907,2.362325175705864,1.0
6992,7.772708807610831,2.184180390463958,1.0
7022,9.850906924411364,1.4201371776781446,1.0
7052,7.820562419773313,2.5454461866124545,1.0
7082,8.411482522849795,2.2230170796030806,1.0
7112,10.228826612045033,1.9466647429549775,1.0
7142,8.418734353634886,2.6394400979138575,1.0
7172,8.735905259787268,2.1985506100689785,1.0
7202,7.8418850370106385,2.5261136861749574,1.0
7232,7.330277589794001,2.713320822381552,1.0
7262,9.556793273443303,2.5825975234100227,1.0
7292,10.004951671736697,1.9905893767751086,1.0
7322,9.519883418866316,2.263817162093358,1.0
7352,7.674019168643262,2.1752077757985484,1.0
7382,9.689656415976339,1.5092690299921767,1.0
7412,8.848718859943679,1.7301915720029435,1.0
7442,8.944168940695398,1.7274197981496824,1.0
7472,7.692715684485483,2.713812631696222,1.0
7502,7.440446255920361,2.9012939765012313,1.0
7532,7.88177546493125,1.8412865560779506,1.0
7562,8.829471232933027,1.889425333371858,1.0
7592,9.837698215995417,1.5445163725002644,1.0
7622,9.157975863003193,1.5819006859771025,1.0
7652,6.984656376232635,2.9919780938011264,1.0
7682,7.836621559457503,1.973011801000711,1.0
7712,8.322366760185007,2.0213608201125335,1.0
7742,10.313981981121074,1.521873969707236,1.0
7772,9.414964007045802,1.2624612400713011,1.0
